id,type,english,tts_text,chinese,difficulty,topic,keywords,lesson,unit_name,source_note
15,sentence,She is my child.,She is my child.,她是我的孩子。,beginner,七上 複習1-2-國中2000單字,child,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,Merged review from Lesson 1 and Lesson 2 | L1 Vocabulary: family members
16,sentence,They are my children.,They are my children.,他們是我的孩子們。,beginner,七上 複習1-2-國中2000單字,children,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,Merged review from Lesson 1 and Lesson 2 | L1 Vocabulary: family members
17,sentence,Paul is Lily’s husband.,Paul is Lily’s husband.,Paul 是 Lily 的丈夫。,beginner,七上 複習1-2-國中2000單字,Paul;Lily;husband,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,Merged review from Lesson 1 and Lesson 2 | L1 Vocabulary: family members
18,sentence,Lily is Paul’s wife.,Lily is Paul’s wife.,Lily 是 Paul 的妻子。,beginner,七上 複習1-2-國中2000單字,Lily;Paul;wife,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,Merged review from Lesson 1 and Lesson 2 | L1 Vocabulary: family members
19,sentence,Dave is Nick’s grandfather.,Dave is Nick’s grandfather.,Dave 是 Nick 的祖父。,beginner,七上 複習1-2-國中2000單字,Dave;Nick;grandfather,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,Merged review from Lesson 1 and Lesson 2 | L1 Vocabulary: family members
20,sentence,Mia is Nick’s grandmother.,Mia is Nick’s grandmother.,Mia 是 Nick 的祖母。,beginner,七上 複習1-2-國中2000單字,Mia;Nick;grandmother,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,Merged review from Lesson 1 and Lesson 2 | L1 Vocabulary: family members
21,sentence,I am a student.,I am a student.,我是一位學生。,beginner,七上 複習1-2-國中2000單字,I;am;student,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar and Reading: be verb, jobs, adjectives"
22,sentence,I am a junior high school student.,I am a junior high school student.,我是一位國中生。,beginner,七上 複習1-2-國中2000單字,junior high school;student,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar and Reading: be verb, jobs, adjectives"
23,sentence,Eddie is a senior high school student.,Eddie is a senior high school student.,Eddie 是一位高中生。,beginner,七上 複習1-2-國中2000單字,Eddie;senior high school;student,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar and Reading: be verb, jobs, adjectives"
24,sentence,My grandfather is a farmer.,My grandfather is a farmer.,我的祖父是一位農夫。,beginner,七上 複習1-2-國中2000單字,grandfather;farmer,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar and Reading: be verb, jobs, adjectives"
25,sentence,My grandmother is a cook.,My grandmother is a cook.,我的祖母是一位廚師。,beginner,七上 複習1-2-國中2000單字,grandmother;cook,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar and Reading: be verb, jobs, adjectives"
26,sentence,My father is a nurse.,My father is a nurse.,我的爸爸是一位護理師。,beginner,七上 複習1-2-國中2000單字,father;nurse,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar and Reading: be verb, jobs, adjectives"
27,sentence,My mother is a doctor.,My mother is a doctor.,我的媽媽是一位醫生。,beginner,七上 複習1-2-國中2000單字,mother;doctor,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar and Reading: be verb, jobs, adjectives"
28,sentence,Bella is my English teacher.,Bella is my English teacher.,Bella 是我的英文老師。,beginner,七上 複習1-2-國中2000單字,Bella;English teacher,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar and Reading: be verb, jobs, adjectives"
29,sentence,Scott is our PE teacher.,Scott is our P E teacher.,Scott 是我們的體育老師。,beginner,七上 複習1-2-國中2000單字,Scott;PE teacher,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar and Reading: be verb, jobs, adjectives"
30,sentence,He is our new PE teacher.,He is our new P E teacher.,他是我們的新體育老師。,beginner,七上 複習1-2-國中2000單字,our;new;PE teacher,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar and Reading: be verb, jobs, adjectives"
31,sentence,He is a tall man.,He is a tall man.,他是一位高個子的男人。,beginner,七上 複習1-2-國中2000單字,tall;man,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar and Reading: be verb, jobs, adjectives"
32,sentence,He is a young man.,He is a young man.,他是一位年輕的男人。,beginner,七上 複習1-2-國中2000單字,young;man,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar and Reading: be verb, jobs, adjectives"
33,sentence,He is a handsome man.,He is a handsome man.,他是一位英俊的男人。,beginner,七上 複習1-2-國中2000單字,handsome;man,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar and Reading: be verb, jobs, adjectives"
34,sentence,She is a beautiful woman.,She is a beautiful woman.,她是一位美麗的女人。,beginner,七上 複習1-2-國中2000單字,beautiful;woman,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar and Reading: be verb, jobs, adjectives"
35,sentence,Abby is our pet pig.,Abby is our pet pig.,Abby 是我們的寵物豬。,beginner,七上 複習1-2-國中2000單字,Abby;pet;pig,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar and Reading: be verb, jobs, adjectives"
36,sentence,She is cute.,She is cute.,她很可愛。,beginner,七上 複習1-2-國中2000單字,cute,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar and Reading: be verb, jobs, adjectives"
37,sentence,They are nice.,They are nice.,他們很好心。,beginner,七上 複習1-2-國中2000單字,they;nice,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar and Reading: be verb, jobs, adjectives"
38,sentence,Bella is strict.,Bella is strict.,Bella 很嚴格。,beginner,七上 複習1-2-國中2000單字,Bella;strict,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar and Reading: be verb, jobs, adjectives"
39,sentence,The car is old.,The car is old.,這台車很舊。,beginner,七上 複習1-2-國中2000單字,car;old,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar and Reading: be verb, jobs, adjectives"
40,sentence,It is a new car.,It is a new car.,它是一台新車。,beginner,七上 複習1-2-國中2000單字,new;car,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar and Reading: be verb, jobs, adjectives"
41,sentence,Are you a student?,Are you a student?,你是學生嗎？,beginner,七上 複習1-2-國中2000單字,Are;you;student,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar: yes-no questions with am, are, is"
42,sentence,"Yes, I am.","Yes, I am.",是的，我是。,beginner,七上 複習1-2-國中2000單字,Yes;I;am,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar: yes-no questions with am, are, is"
43,sentence,"No, I am not.","No, I am not.",不，我不是。,beginner,七上 複習1-2-國中2000單字,No;I;am not,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar: yes-no questions with am, are, is"
44,sentence,Is your sister a student?,Is your sister a student?,你的姊妹是學生嗎？,beginner,七上 複習1-2-國中2000單字,sister;student,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar: yes-no questions with am, are, is"
45,sentence,"Yes, she is.","Yes, she is.",是的，她是。,beginner,七上 複習1-2-國中2000單字,Yes;she;is,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar: yes-no questions with am, are, is"
46,sentence,"No, she is not.","No, she is not.",不，她不是。,beginner,七上 複習1-2-國中2000單字,No;she;is not,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar: yes-no questions with am, are, is"
47,sentence,Is he young?,Is he young?,他年輕嗎？,beginner,七上 複習1-2-國中2000單字,he;young,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar: yes-no questions with am, are, is"
48,sentence,"No, he is not.","No, he is not.",不，他不是。,beginner,七上 複習1-2-國中2000單字,No;he;is not,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar: yes-no questions with am, are, is"
49,sentence,Is he a young man?,Is he a young man?,他是一位年輕的男人嗎？,beginner,七上 複習1-2-國中2000單字,young;man,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar: yes-no questions with am, are, is"
50,sentence,He is an old man.,He is an old man.,他是一位老人。,beginner,七上 複習1-2-國中2000單字,old;man,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar: yes-no questions with am, are, is"
51,sentence,Is the student thin?,Is the student thin?,這位學生瘦嗎？,beginner,七上 複習1-2-國中2000單字,student;thin,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar: yes-no questions with am, are, is"
52,sentence,"Yes, he is thin.","Yes, he is thin.",是的，他很瘦。,beginner,七上 複習1-2-國中2000單字,he;thin,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar: yes-no questions with am, are, is"
53,sentence,Is the girl beautiful?,Is the girl beautiful?,這個女孩漂亮嗎？,beginner,七上 複習1-2-國中2000單字,girl;beautiful,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar: yes-no questions with am, are, is"
54,sentence,"Yes, she is beautiful.","Yes, she is beautiful.",是的，她很漂亮。,beginner,七上 複習1-2-國中2000單字,she;beautiful,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar: yes-no questions with am, are, is"
55,sentence,Is it a robot?,Is it a robot?,它是一個機器人嗎？,beginner,七上 複習1-2-國中2000單字,it;robot,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar: yes-no questions with am, are, is"
56,sentence,"Yes, it is a robot.","Yes, it is a robot.",是的，它是一個機器人。,beginner,七上 複習1-2-國中2000單字,it;robot,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar: yes-no questions with am, are, is"
57,sentence,Is it a long pencil?,Is it a long pencil?,它是一枝長鉛筆嗎？,beginner,七上 複習1-2-國中2000單字,it;long;pencil,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar: yes-no questions with am, are, is"
58,sentence,"No, it is a short pencil.","No, it is a short pencil.",不，它是一枝短鉛筆。,beginner,七上 複習1-2-國中2000單字,it;short;pencil,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar: yes-no questions with am, are, is"
59,sentence,Is Tom’s sister sad?,Is Tom’s sister sad?,Tom 的姊妹難過嗎？,beginner,七上 複習1-2-國中2000單字,Tom;sister;sad,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar: yes-no questions with am, are, is"
60,sentence,"Yes, she is sad.","Yes, she is sad.",是的，她很難過。,beginner,七上 複習1-2-國中2000單字,she;sad,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Grammar: yes-no questions with am, are, is"
61,sentence,Who is he?,Who is he?,他是誰？,beginner,七上 複習1-2-國中2000單字,Who;he,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Dialogue and Grammar: who, classroom, greetings"
62,sentence,Who is she?,Who is she?,她是誰？,beginner,七上 複習1-2-國中2000單字,Who;she,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Dialogue and Grammar: who, classroom, greetings"
63,sentence,Who is that young man?,Who is that young man?,那位年輕男子是誰？,beginner,七上 複習1-2-國中2000單字,Who;young man,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Dialogue and Grammar: who, classroom, greetings"
64,sentence,That young man is Scott.,That young man is Scott.,那位年輕男子是 Scott。,beginner,七上 複習1-2-國中2000單字,young man;Scott,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Dialogue and Grammar: who, classroom, greetings"
65,sentence,His name is Scott.,His name is Scott.,他的名字是 Scott。,beginner,七上 複習1-2-國中2000單字,his;name;Scott,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Dialogue and Grammar: who, classroom, greetings"
66,sentence,Her name is Bella.,Her name is Bella.,她的名字是 Bella。,beginner,七上 複習1-2-國中2000單字,her;name;Bella,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Dialogue and Grammar: who, classroom, greetings"
67,sentence,"Good morning, Nick.","Good morning, Nick.",早安，Nick。,beginner,七上 複習1-2-國中2000單字,Good morning;Nick,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Dialogue and Grammar: who, classroom, greetings"
68,sentence,"Good morning, Ann.","Good morning, Ann.",早安，Ann。,beginner,七上 複習1-2-國中2000單字,Good morning;Ann,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Dialogue and Grammar: who, classroom, greetings"
69,sentence,Nice to meet you.,Nice to meet you.,很高興認識你。,beginner,七上 複習1-2-國中2000單字,Nice to meet you,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Dialogue and Grammar: who, classroom, greetings"
70,sentence,"Nice to meet you, too.","Nice to meet you, too.",我也很高興認識你。,beginner,七上 複習1-2-國中2000單字,Nice to meet you;too,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Dialogue and Grammar: who, classroom, greetings"
71,sentence,We are in the same class again.,We are in the same class again.,我們又在同一班。,beginner,七上 複習1-2-國中2000單字,same;class;again,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Dialogue and Grammar: who, classroom, greetings"
72,sentence,Nick is in Class 701.,Nick is in Class seven oh one.,Nick 在 701 班。,beginner,七上 複習1-2-國中2000單字,Nick;Class 701,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Dialogue and Grammar: who, classroom, greetings"
73,sentence,Rita is in the classroom.,Rita is in the classroom.,Rita 在教室裡。,beginner,七上 複習1-2-國中2000單字,Rita;classroom,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Dialogue and Grammar: who, classroom, greetings"
74,sentence,"Ann is in the classroom, too.","Ann is in the classroom, too.",Ann 也在教室裡。,beginner,七上 複習1-2-國中2000單字,Ann;classroom;too,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Dialogue and Grammar: who, classroom, greetings"
75,sentence,This is Nick.,This is Nick.,這是 Nick。,beginner,七上 複習1-2-國中2000單字,This is;Nick,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Dialogue and Grammar: who, classroom, greetings"
76,sentence,He is my cousin.,He is my cousin.,他是我的堂表兄弟。,beginner,七上 複習1-2-國中2000單字,he;cousin,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Dialogue and Grammar: who, classroom, greetings"
77,sentence,Bella is our English teacher.,Bella is our English teacher.,Bella 是我們的英文老師。,beginner,七上 複習1-2-國中2000單字,Bella;our;English teacher,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Dialogue and Grammar: who, classroom, greetings"
78,sentence,That is good news.,That is good news.,那是好消息。,beginner,七上 複習1-2-國中2000單字,good;news,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Dialogue and Grammar: who, classroom, greetings"
79,sentence,What is the problem?,What is the problem?,問題是什麼？,beginner,七上 複習1-2-國中2000單字,what;problem,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Dialogue and Grammar: who, classroom, greetings"
80,sentence,Really?,Really?,真的嗎？,beginner,七上 複習1-2-國中2000單字,really,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,"Merged review from Lesson 1 and Lesson 2 | L1 Dialogue and Grammar: who, classroom, greetings"
81,sentence,Nick is from a warm family.,Nick is from a warm family.,Nick 來自一個溫暖的家庭。,beginner,七上 複習1-2-國中2000單字,Nick;warm;family,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,Merged review from Lesson 1 and Lesson 2 | L1 Reading and Read Up: The Lins and The Park Family
82,sentence,Paul is Nick’s father.,Paul is Nick’s father.,Paul 是 Nick 的爸爸。,beginner,七上 複習1-2-國中2000單字,Paul;Nick;father,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,Merged review from Lesson 1 and Lesson 2 | L1 Reading and Read Up: The Lins and The Park Family
83,sentence,Lily is Nick’s mother.,Lily is Nick’s mother.,Lily 是 Nick 的媽媽。,beginner,七上 複習1-2-國中2000單字,Lily;Nick;mother,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,Merged review from Lesson 1 and Lesson 2 | L1 Reading and Read Up: The Lins and The Park Family
84,sentence,Bella is Nick’s sister.,Bella is Nick’s sister.,Bella 是 Nick 的姊妹。,beginner,七上 複習1-2-國中2000單字,Bella;Nick;sister,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,Merged review from Lesson 1 and Lesson 2 | L1 Reading and Read Up: The Lins and The Park Family
85,sentence,Eddie is Nick’s brother.,Eddie is Nick’s brother.,Eddie 是 Nick 的兄弟。,beginner,七上 複習1-2-國中2000單字,Eddie;Nick;brother,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,Merged review from Lesson 1 and Lesson 2 | L1 Reading and Read Up: The Lins and The Park Family
86,sentence,Abby is Nick’s pet.,Abby is Nick’s pet.,Abby 是 Nick 的寵物。,beginner,七上 複習1-2-國中2000單字,Abby;Nick;pet,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,Merged review from Lesson 1 and Lesson 2 | L1 Reading and Read Up: The Lins and The Park Family
87,sentence,Dave and Mia are Nick’s grandparents.,Dave and Mia are Nick’s grandparents.,Dave 和 Mia 是 Nick 的祖父母。,beginner,七上 複習1-2-國中2000單字,Dave;Mia;grandparents,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,Merged review from Lesson 1 and Lesson 2 | L1 Reading and Read Up: The Lins and The Park Family
88,sentence,Paul is a tall man and a nurse.,Paul is a tall man and a nurse.,Paul 是一位高個子的男人，也是一位護理師。,beginner,七上 複習1-2-國中2000單字,Paul;tall man;nurse,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,Merged review from Lesson 1 and Lesson 2 | L1 Reading and Read Up: The Lins and The Park Family
89,sentence,Lily is a beautiful woman and a doctor.,Lily is a beautiful woman and a doctor.,Lily 是一位美麗的女人，也是一位醫生。,beginner,七上 複習1-2-國中2000單字,Lily;beautiful woman;doctor,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,Merged review from Lesson 1 and Lesson 2 | L1 Reading and Read Up: The Lins and The Park Family
90,sentence,Bella is Nick’s sister and English teacher.,Bella is Nick’s sister and English teacher.,Bella 是 Nick 的姊妹，也是英文老師。,beginner,七上 複習1-2-國中2000單字,Bella;Nick;sister;English teacher,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,Merged review from Lesson 1 and Lesson 2 | L1 Reading and Read Up: The Lins and The Park Family
91,sentence,Gina Park is a junior high school student.,Gina Park is a junior high school student.,Gina Park 是一位國中生。,beginner,七上 複習1-2-國中2000單字,Gina Park;junior high school student,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,Merged review from Lesson 1 and Lesson 2 | L1 Reading and Read Up: The Lins and The Park Family
92,sentence,Gina’s dad is a firefighter.,Gina’s dad is a firefighter.,Gina 的爸爸是一位消防員。,beginner,七上 複習1-2-國中2000單字,Gina;dad;firefighter,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,Merged review from Lesson 1 and Lesson 2 | L1 Reading and Read Up: The Lins and The Park Family
93,sentence,Gina’s mom is a teacher.,Gina’s mom is a teacher.,Gina 的媽媽是一位老師。,beginner,七上 複習1-2-國中2000單字,Gina;mom;teacher,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,Merged review from Lesson 1 and Lesson 2 | L1 Reading and Read Up: The Lins and The Park Family
94,sentence,Gina has two brothers and one sister.,Gina has two brothers and one sister.,Gina 有兩個兄弟和一個姊妹。,beginner,七上 複習1-2-國中2000單字,Gina;two brothers;one sister,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,Merged review from Lesson 1 and Lesson 2 | L1 Reading and Read Up: The Lins and The Park Family
95,sentence,Her brothers work at a zoo.,Her brothers work at a zoo.,她的兄弟們在動物園工作。,beginner,七上 複習1-2-國中2000單字,brothers;work;zoo,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,Merged review from Lesson 1 and Lesson 2 | L1 Reading and Read Up: The Lins and The Park Family
96,sentence,They take care of the animals.,They take care of the animals.,他們照顧動物。,beginner,七上 複習1-2-國中2000單字,take care of;animals,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,Merged review from Lesson 1 and Lesson 2 | L1 Reading and Read Up: The Lins and The Park Family
97,sentence,Her sister is a waste collector.,Her sister is a waste collector.,她的姊妹是一位清潔隊員。,beginner,七上 複習1-2-國中2000單字,sister;waste collector,grade7_1_review1_2,Review 1-2: Who's That Young Man? + What Are These?,Merged review from Lesson 1 and Lesson 2 | L1 Reading and Read Up: The Lins and The Park Family
