id,type,english,tts_text,chinese,difficulty,topic,keywords,lesson,unit_name,source_note
11,sentence,Today is Monday.,Today is Monday.,今天是星期一。,beginner,七上 Lesson 5-國中2000單字,today;Monday,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
12,sentence,Today is Tuesday.,Today is Tuesday.,今天是星期二。,beginner,七上 Lesson 5-國中2000單字,today;Tuesday,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
13,sentence,Today is Wednesday.,Today is Wednesday.,今天是星期三。,beginner,七上 Lesson 5-國中2000單字,today;Wednesday,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
14,sentence,Today is Thursday.,Today is Thursday.,今天是星期四。,beginner,七上 Lesson 5-國中2000單字,today;Thursday,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
15,sentence,Today is Friday.,Today is Friday.,今天是星期五。,beginner,七上 Lesson 5-國中2000單字,today;Friday,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
16,sentence,Today is Saturday.,Today is Saturday.,今天是星期六。,beginner,七上 Lesson 5-國中2000單字,today;Saturday,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
17,sentence,Today is Sunday.,Today is Sunday.,今天是星期日。,beginner,七上 Lesson 5-國中2000單字,today;Sunday,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
18,sentence,The English class is on Monday.,The English class is on Monday.,英文課在星期一。,beginner,七上 Lesson 5-國中2000單字,English class;Monday,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
19,sentence,The PE class is on Tuesday.,The PE class is on Tuesday.,體育課在星期二。,beginner,七上 Lesson 5-國中2000單字,PE class;Tuesday,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
20,sentence,The basketball game is on Wednesday.,The basketball game is on Wednesday.,籃球比賽在星期三。,beginner,七上 Lesson 5-國中2000單字,basketball game;Wednesday,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
21,sentence,The math class is on Thursday.,The math class is on Thursday.,數學課在星期四。,beginner,七上 Lesson 5-國中2000單字,math class;Thursday,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
22,sentence,We go to the zoo on Friday.,We go to the zoo on Friday.,我們星期五去動物園。,beginner,七上 Lesson 5-國中2000單字,zoo;Friday,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
23,sentence,Joe's birthday party is on Saturday.,Joe's birthday party is on Saturday.,Joe 的生日派對在星期六。,beginner,七上 Lesson 5-國中2000單字,birthday party;Saturday,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
24,sentence,The family day is on Sunday.,The family day is on Sunday.,家庭日在星期日。,beginner,七上 Lesson 5-國中2000單字,family day;Sunday,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
25,sentence,The weekend is Saturday and Sunday.,The weekend is Saturday and Sunday.,週末是星期六和星期日。,beginner,七上 Lesson 5-國中2000單字,weekend;Saturday;Sunday,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
26,sentence,It is noon now.,It is noon now.,現在是中午。,beginner,七上 Lesson 5-國中2000單字,noon,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
27,sentence,It is Monday morning.,It is Monday morning.,現在是星期一早上。,beginner,七上 Lesson 5-國中2000單字,Monday;morning,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
28,sentence,It is Friday night.,It is Friday night.,現在是星期五晚上。,beginner,七上 Lesson 5-國中2000單字,Friday;night,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
29,sentence,My birthday is on Sunday.,My birthday is on Sunday.,我的生日在星期日。,beginner,七上 Lesson 5-國中2000單字,birthday;Sunday,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
30,sentence,The party is at noon.,The party is at noon.,派對在中午。,beginner,七上 Lesson 5-國中2000單字,party;noon,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
31,sentence,Nick is waking up.,Nick is waking up.,Nick 正在醒來。,beginner,七上 Lesson 5-國中2000單字,Nick;wake up,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
32,sentence,Nick is looking for his watch.,Nick is looking for his watch.,Nick 正在找他的手錶。,beginner,七上 Lesson 5-國中2000單字,Nick;look for;watch,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
33,sentence,Mom is talking to Nick.,Mom is talking to Nick.,媽媽正在和 Nick 說話。,beginner,七上 Lesson 5-國中2000單字,Mom;talk;Nick,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
34,sentence,Nick is preparing for the group chat.,Nick is preparing for the group chat.,Nick 正在準備群組聊天。,beginner,七上 Lesson 5-國中2000單字,prepare;group chat,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
35,sentence,Rita is asking a question.,Rita is asking a question.,Rita 正在問一個問題。,beginner,七上 Lesson 5-國中2000單字,Rita;question,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
36,sentence,Bella is saying good morning.,Bella is saying good morning.,Bella 正在說早安。,beginner,七上 Lesson 5-國中2000單字,Bella;say;good morning,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
37,sentence,The students are saying good evening.,The students are saying good evening.,學生們正在說晚安。,beginner,七上 Lesson 5-國中2000單字,students;say;good evening,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
38,sentence,Everyone is in the meeting.,Everyone is in the meeting.,每個人都在會議裡。,beginner,七上 Lesson 5-國中2000單字,everyone;meeting,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
39,sentence,It is eight a.m. in New York City.,It is eight a m in New York City.,紐約市現在是上午八點。,beginner,七上 Lesson 5-國中2000單字,eight a.m.;New York City,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
40,sentence,It is nine p.m. in Taiwan.,It is nine p m in Taiwan.,台灣現在是晚上九點。,beginner,七上 Lesson 5-國中2000單字,nine p.m.;Taiwan,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
41,sentence,What day is today?,What day is today?,今天是星期幾？,beginner,七上 Lesson 5-國中2000單字,what day;today,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
42,sentence,It is Thursday.,It is Thursday.,今天是星期四。,beginner,七上 Lesson 5-國中2000單字,Thursday,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
43,sentence,Is the meeting on Friday?,Is the meeting on Friday?,會議在星期五嗎？,beginner,七上 Lesson 5-國中2000單字,meeting;Friday,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
44,sentence,"No, it is on Thursday.","No, it is on Thursday.",不，它在星期四。,beginner,七上 Lesson 5-國中2000單字,Thursday,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
45,sentence,Is it at nine o'clock?,Is it at nine o'clock?,它在九點嗎？,beginner,七上 Lesson 5-國中2000單字,nine o'clock,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
46,sentence,"Yes, it is at nine o'clock in the evening.","Yes, it is at nine o'clock in the evening.",是的，它在晚上九點。,beginner,七上 Lesson 5-國中2000單字,nine o'clock;evening,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
47,sentence,What is the meeting about?,What is the meeting about?,會議是關於什麼？,beginner,七上 Lesson 5-國中2000單字,meeting;about,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
48,sentence,It is about school life.,It is about school life.,它是關於學校生活。,beginner,七上 Lesson 5-國中2000單字,school life,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
49,sentence,Good morning to our friends.,Good morning to our friends.,向我們的朋友說早安。,beginner,七上 Lesson 5-國中2000單字,good morning;friends,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
50,sentence,Good evening to our friends.,Good evening to our friends.,向我們的朋友說晚安。,beginner,七上 Lesson 5-國中2000單字,good evening;friends,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
51,sentence,I am reading now.,I am reading now.,我現在正在閱讀。,beginner,七上 Lesson 5-國中2000單字,am reading,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
52,sentence,I am cooking now.,I am cooking now.,我現在正在煮東西。,beginner,七上 Lesson 5-國中2000單字,am cooking,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
53,sentence,He is reading.,He is reading.,他正在閱讀。,beginner,七上 Lesson 5-國中2000單字,he is reading,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
54,sentence,She is cooking.,She is cooking.,她正在煮東西。,beginner,七上 Lesson 5-國中2000單字,she is cooking,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
55,sentence,We are eating.,We are eating.,我們正在吃東西。,beginner,七上 Lesson 5-國中2000單字,we are eating,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
56,sentence,They are dancing.,They are dancing.,他們正在跳舞。,beginner,七上 Lesson 5-國中2000單字,they are dancing,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
57,sentence,Are you reading?,Are you reading?,你正在閱讀嗎？,beginner,七上 Lesson 5-國中2000單字,are you reading,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
58,sentence,"Yes, I am reading.","Yes, I am reading.",是的，我正在閱讀。,beginner,七上 Lesson 5-國中2000單字,yes;reading,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
59,sentence,Is he sleeping?,Is he sleeping?,他正在睡覺嗎？,beginner,七上 Lesson 5-國中2000單字,is he sleeping,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
60,sentence,"Yes, he is sleeping.","Yes, he is sleeping.",是的，他正在睡覺。,beginner,七上 Lesson 5-國中2000單字,sleeping,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
61,sentence,Are they eating?,Are they eating?,他們正在吃東西嗎？,beginner,七上 Lesson 5-國中2000單字,are they eating,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
62,sentence,"Yes, they are eating.","Yes, they are eating.",是的，他們正在吃東西。,beginner,七上 Lesson 5-國中2000單字,eating,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
63,sentence,Are the girls cooking?,Are the girls cooking?,那些女孩正在煮東西嗎？,beginner,七上 Lesson 5-國中2000單字,girls;cooking,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
64,sentence,"No, they are writing cards.","No, they are writing cards.",不，她們正在寫卡片。,beginner,七上 Lesson 5-國中2000單字,writing cards,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
65,sentence,Is Jenny taking photos?,Is Jenny taking photos?,Jenny 正在拍照嗎？,beginner,七上 Lesson 5-國中2000單字,Jenny;taking photos,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
66,sentence,"Yes, she is taking photos.","Yes, she is taking photos.",是的，她正在拍照。,beginner,七上 Lesson 5-國中2000單字,taking photos,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
67,sentence,Is Emma reading?,Is Emma reading?,Emma 正在閱讀嗎？,beginner,七上 Lesson 5-國中2000單字,Emma;reading,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
68,sentence,"No, she is running.","No, she is running.",不，她正在跑步。,beginner,七上 Lesson 5-國中2000單字,running,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
69,sentence,What is Kevin doing?,What is Kevin doing?,Kevin 正在做什麼？,beginner,七上 Lesson 5-國中2000單字,Kevin;doing,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
70,sentence,He is sleeping.,He is sleeping.,他正在睡覺。,beginner,七上 Lesson 5-國中2000單字,sleeping,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
71,sentence,What are the young boys doing?,What are the young boys doing?,那些年輕男孩正在做什麼？,beginner,七上 Lesson 5-國中2000單字,young boys;doing,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
72,sentence,They are dancing.,They are dancing.,他們正在跳舞。,beginner,七上 Lesson 5-國中2000單字,dancing,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
73,sentence,What are they doing?,What are they doing?,他們正在做什麼？,beginner,七上 Lesson 5-國中2000單字,they;doing,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
74,sentence,They are eating.,They are eating.,他們正在吃東西。,beginner,七上 Lesson 5-國中2000單字,eating,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
75,sentence,What time is the math class?,What time is the math class?,數學課幾點？,beginner,七上 Lesson 5-國中2000單字,math class;time,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
76,sentence,It is at eight a.m.,It is at eight a m,它在上午八點。,beginner,七上 Lesson 5-國中2000單字,eight a.m.,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
77,sentence,What day is the math class?,What day is the math class?,數學課在星期幾？,beginner,七上 Lesson 5-國中2000單字,math class;day,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
78,sentence,It is on Friday.,It is on Friday.,它在星期五。,beginner,七上 Lesson 5-國中2000單字,Friday,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
79,sentence,What time is the basketball game?,What time is the basketball game?,籃球比賽幾點？,beginner,七上 Lesson 5-國中2000單字,basketball game;time,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
80,sentence,It is at six thirty p.m.,It is at six thirty p m,它在晚上六點半。,beginner,七上 Lesson 5-國中2000單字,six thirty p.m.,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
81,sentence,What day is the basketball game?,What day is the basketball game?,籃球比賽在星期幾？,beginner,七上 Lesson 5-國中2000單字,basketball game;day,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
82,sentence,It is on Tuesday.,It is on Tuesday.,它在星期二。,beginner,七上 Lesson 5-國中2000單字,Tuesday,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
83,sentence,What time is the birthday party?,What time is the birthday party?,生日派對幾點？,beginner,七上 Lesson 5-國中2000單字,birthday party;time,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
84,sentence,It is at eleven a.m.,It is at eleven a m,它在上午十一點。,beginner,七上 Lesson 5-國中2000單字,eleven a.m.,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
85,sentence,What day is the birthday party?,What day is the birthday party?,生日派對在星期幾？,beginner,七上 Lesson 5-國中2000單字,birthday party;day,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
86,sentence,It is on Sunday.,It is on Sunday.,它在星期日。,beginner,七上 Lesson 5-國中2000單字,Sunday,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
87,sentence,What time is the movie?,What time is the movie?,電影幾點？,beginner,七上 Lesson 5-國中2000單字,movie;time,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
88,sentence,It is at nine p.m.,It is at nine p m,它在晚上九點。,beginner,七上 Lesson 5-國中2000單字,nine p.m.,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
89,sentence,What day is the movie?,What day is the movie?,電影在星期幾？,beginner,七上 Lesson 5-國中2000單字,movie;day,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
90,sentence,It is on Saturday.,It is on Saturday.,它在星期六。,beginner,七上 Lesson 5-國中2000單字,Saturday,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
91,sentence,The sun is up.,The sun is up.,太陽升起了。,beginner,七上 Lesson 5-國中2000單字,sun;up,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
92,sentence,Rise and shine.,Rise and shine.,起床了。,beginner,七上 Lesson 5-國中2000單字,rise and shine,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
93,sentence,It is seven o'clock in Taipei.,It is seven o'clock in Taipei.,台北現在是七點。,beginner,七上 Lesson 5-國中2000單字,seven o'clock;Taipei,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
94,sentence,Daniel is making dinner with his family.,Daniel is making dinner with his family.,Daniel 正在和他的家人做晚餐。,beginner,七上 Lesson 5-國中2000單字,Daniel;making dinner;family,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
95,sentence,Eric is sleeping in Paris.,Eric is sleeping in Paris.,Eric 正在巴黎睡覺。,beginner,七上 Lesson 5-國中2000單字,Eric;sleeping;Paris,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
96,sentence,Miako is on her way to school.,Miako is on her way to school.,Miako 正在去學校的路上。,beginner,七上 Lesson 5-國中2000單字,Miako;school,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
97,sentence,Wendy is having a good time.,Wendy is having a good time.,Wendy 玩得很開心。,beginner,七上 Lesson 5-國中2000單字,Wendy;having a good time,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
98,sentence,Andy is assembling a robot.,Andy is assembling a robot.,Andy 正在組裝機器人。,beginner,七上 Lesson 5-國中2000單字,Andy;assembling;robot,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
99,sentence,Fred is looking for its eyes.,Fred is looking for its eyes.,Fred 正在找它的眼睛。,beginner,七上 Lesson 5-國中2000單字,Fred;looking for;eyes,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
100,sentence,Andy is assembling its ears.,Andy is assembling its ears.,Andy 正在組裝它的耳朵。,beginner,七上 Lesson 5-國中2000單字,Andy;assembling;ears,grade7_1_lesson5,What Are You Doing?,"L5 textbook: week, days, present progressive, time and day questions, group chat, time zones, New Year's Eve"
